timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m,flaps_1h,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m,Label
1777199248.3683195,eth0,1,100,38.6,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.71599087757664,0.16572109497022278,4.587159908775767e-06,111111.11111111111,1000000.0,0.0,0.0,0.0,0.0,0,0,4.705127905622168e-06,37.61,4.950000000000003,0.008250000000000006,
1777199308.711919,eth0,1,100,37.5,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.70647761825404,0.1657176580990802,4.5870647761825405e-06,100000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.693321592678205e-06,37.995,4.950000000000003,0.008250000000000006,
1777199369.0562196,eth0,1,100,34.75,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.7011493504914,0.16571573314685384,4.587011493504914e-06,100000.0,1000000.0,0.0,0.0,0.0,0.0,0,0,4.736884077933328e-06,38.214999999999996,2.200000000000003,0.0036666666666666714,
1777199429.3997996,eth0,1,100,34.75,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.83596360842046,0.1491459406099785,4.128359636084204e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.69101170625002e-06,38.435,2.200000000000003,0.0036666666666666714,
1777199437.719297,eth0,1,100,34.75,,,,0,0,1,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,34.75,0.0,0.0,
1777199497.7273743,eth0,1,100,34.2,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.4568059439318,0.3499528882745828,5.684568059439319e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.684568059439319e-06,34.475,-0.5499999999999972,-0.0009166666666666619,
1777199557.735076,eth0,1,100,32.55,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2741239149379,0.16664527598083015,4.612741239149379e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.148654649294349e-06,33.833333333333336,-2.200000000000003,-0.0036666666666666714,
1777199617.74289,eth0,1,100,33.1,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.1459346419098,0.14998046771745296,4.151459346419098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.816256215002599e-06,33.65,-1.6499999999999986,-0.0027499999999999977,
1777199677.7504632,eth0,1,100,33.1,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2751099114961,0.16664563219345957,4.612751099114961e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.765379936030689e-06,33.54,-1.6499999999999986,-0.0027499999999999977,
1777199724.0584853,eth0,7,100,33.1,,,,0,0,1,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,33.1,0.0,0.0,
1777199784.0667627,eth0,7,100,33.1,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2696979785982,0.1666436770153895,4.612696979785981e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.612696979785981e-06,33.1,0.0,0.0,
