timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m,flaps_1h,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m
1777471154.3319025,eth0,1,100,30.9,,,,0,0,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,30.9,0,0
1777471214.3401885,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.7956402393943,2299.1491541953687,2.7496202774718475,3.778944794434763E-05,0,0,0,0,0,0,0,0,3.778944794434763E-05,30.9,0,0
1777471274.348011,eth0,1,100,31.45,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6585.808040452769,60028.1738132524,45.3774172422897,0.0006661398185370516,0,0,0,0,0,0,0,0,0.0003519646332406996,31.083333333333332,0.5500000000000007,0.0009166666666666678
1777471334.3556893,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.48515408679896,1024.4022393778198,1.1331883178958184,1.4008873934646188E-05,0,0,0,0,0,0,0,0,0.00023931271347201513,30.9,-0.5499999999999972,-0.0009166666666666619
1777471394.363154,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2759456293515,0.16664593411465012,4.612759456293515E-06,0,0,0,0,0,0,0,0,0.00018063772496808474,30.79,-0.5499999999999972,-0.0009166666666666619
1777471454.3706555,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2756615582495,0.1666458314878069,4.612756615582495E-06,0,0,0,0,0,0,0,0,0.00014543273129758428,30.808333333333334,0,0
1777471514.3784256,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27359792965046,0.16664508595724364,4.612735979296505E-06,0,0,0,0,0,0,0,0,0.00012196273207786965,30.742857142857144,-0.5499999999999972,-0.0009166666666666619
1777471574.3863108,eth0,1,100,31.45,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27271273760647,0.1666447661624301,4.6127271273760646E-06,0,0,0,0,0,0,0,0,0.00010519844565637056,30.83125,0.5500000000000007,0.0009166666666666678
1777471634.3940785,eth0,1,100,31.45,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2736162566438,0.16664509257826726,4.612736162566438E-06,0,0,0,0,0,0,0,0,9.262523196964505E-05,30.9,0.5500000000000007,0.0009166666666666678
1777471694.4018295,eth0,1,100,29.25,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.14637009107406,0.1499806250329025,4.151463700910741E-06,0,0,0,0,0,0,0,0,8.279481327311901E-05,30.735,-1.6499999999999986,-0.0027499999999999977
1777471754.409502,eth0,1,100,31.45,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2743475048659,0.16664535675753825,4.612743475048659E-06,0,0,0,0,0,0,0,0,7.497660629331198E-05,30.79,0.5500000000000007,0.0009166666666666678
1777471814.4171271,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27471221349236,0.1666454885164351,4.612747122134923E-06,0,0,0,0,0,0,0,0,7.16589362110907E-05,30.68,-1.6499999999999986,-0.0027499999999999977
1777471874.424962,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.92903339904324,461.2730994359904,0.18330939645216382,4.942021328350337E-06,0,0,0,0,0,0,0,0,5.539156490220587E-06,30.515,-0.5500000000000007,-0.0009166666666666678
1777471934.4325795,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2747708601595,0.16664550970381484,4.612747708601595E-06,0,0,0,0,0,0,0,0,4.599543867616127E-06,30.46,-0.5500000000000007,-0.0009166666666666678
1777471994.440189,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2748331722596,0.1666455322154117,4.612748331722596E-06,0,0,0,0,0,0,0,0,4.5995427551590355E-06,30.515,0,0
1777472054.4477768,eth0,1,100,32.55,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2749981161354,0.16664559180496222,4.612749981161354E-06,0,0,0,0,0,0,0,0,4.599542091716921E-06,30.68,2.1999999999999957,0.0036666666666666597
1777472114.4555418,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.1462727747043,0.14998058987525445,4.151462727747043E-06,0,0,0,0,0,0,0,0,4.553414766561975E-06,30.735,-0.5500000000000007,-0.0009166666666666678
1777472174.4631543,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2748093470429,0.16664552360803572,4.612748093470429E-06,0,0,0,0,0,0,0,0,4.553416863171412E-06,30.57,-1.6499999999999986,-0.0027499999999999977
1777472234.470854,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27413857656586,0.16664528127766107,4.612741385765659E-06,0,0,0,0,0,0,0,0,4.5534173854913335E-06,30.46,1.1000000000000014,0.0018333333333333357
1777472294.4784784,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27471771161674,0.1666454905027517,4.6127471771161674E-06,0,0,0,0,0,0,0,0,4.5995457331118765E-06,30.625,-0.5500000000000007,-0.0009166666666666678
1777472354.4860573,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2750677591406,0.16664561696500746,4.612750677591406E-06,0,0,0,0,0,0,0,0,4.599546453366151E-06,30.57,1.0999999999999979,0.0018333333333333298
1777472414.4937515,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2741807287515,0.16664529650605184,4.612741807287515E-06,0,0,0,0,0,0,0,0,4.59954592188141E-06,30.57,0,0
1777472474.5016727,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2724360012464,0.16664466618542137,4.612724360012463E-06,0,0,0,0,0,0,0,0,4.566616225047623E-06,30.68,1.0999999999999979,0.0018333333333333298
1777472534.509461,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2734586445487,0.16664503563748148,4.6127345864454874E-06,0,0,0,0,0,0,0,0,4.566614912832012E-06,30.68,-1.0999999999999979,-0.0018333333333333298
1777472594.5174284,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.1448724136896,0.14998008396448323,4.151448724136896E-06,0,0,0,0,0,0,0,0,4.520484952073442E-06,30.57,-2.7499999999999964,-0.004583333333333327
1777472654.5252178,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27344948105815,0.16664503232697186,4.612734494810582E-06,0,0,0,0,0,0,0,0,4.520483403438364E-06,30.35,-0.5499999999999972,-0.0009166666666666619
1777472714.533199,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2719741638219,0.16664449933664086,4.612719741638218E-06,0,0,0,0,0,0,0,0,4.566609104827482E-06,30.295,0.5500000000000007,0.0009166666666666678
1777472774.5410058,eth0,1,100,29.25,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.27331569413707,0.16664498399354663,4.612733156941371E-06,0,0,0,0,0,0,0,0,4.566607611174576E-06,30.240000000000002,-1.1000000000000014,-0.0018333333333333357
1777472834.548872,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2728593530312,0.16664481913043033,4.612728593530312E-06,0,0,0,0,0,0,0,0,4.566606331951042E-06,30.295,0,0
1777472894.556597,eth0,1,100,30.35,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2739443100707,0.16664521109467872,4.612739443100707E-06,0,0,0,0,0,0,0,0,4.566605558549495E-06,30.240000000000002,-0.5499999999999972,-0.0009166666666666619
1777472954.5640981,eth0,1,100,30.9,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.1480987013128,0.1499812495308211,4.151480987013128E-06,0,0,0,0,0,0,0,0,4.520478589491668E-06,30.240000000000002,1.0999999999999979,0.0018333333333333298
1777473014.571831,eth0,1,100,29.8,0,0,0,0,0,1,0,,0,0,0,0,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.2738838309122,0.16664518924527175,4.6127388383091225E-06,0,0,0,0,0,0,0,0,4.520478292593828E-06,30.240000000000002,-1.0999999999999979,-0.0018333333333333298
