timestamp,iface,carrier,speed_mbps,temp_c,frame_err_ppm,length_err_ppm,rx_err_ppm,speed_change_count_10m,speed_is_downgraded,has_phy_stats,phy_receive_errors_rate,phy_idle_errors_rate,phy_serdes_ber_errors_rate,phy_false_carrier_sense_errors_rate,phy_local_rcvr_nok_rate,phy_remote_rcv_nok_rate,phy_receive_errors_copper,phy_idle_errors,link_flap,time_since_last_link_down,fcs_rate,fcs_per_million_pkts,rx_error_rate,tx_error_rate,bad_octets_rate,fragment_rate,jabber_rate,oversize_rate,undersize_rate,port_discards_rate,host_rx_drop_rate,host_tx_drop_rate,tx_dropped_rate,host_rx_crc_rate,rx_bps,tx_bps,pps,utilization,mean_fcs_per_million,max_fcs_per_million,mean_phy_rxerr,max_phy_rxerr,mean_discards,max_discards,flaps_10m_mean,flaps_1h_mean,mean_utilization,mean_temp,temp_delta_10m,temp_slope_10m
3149.155545645,eth0,1,100,29.25,,,,0,0,1,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,29.25,0.0,0.0
3209.163010258,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2759458929606,0.1666459342098846,4.612759458929606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.612759458929606e-06,28.975,-0.5500000000000007,-0.0009166666666666678
3255.505130193,eth0,1,100,29.25,,,,0,0,1,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,29.25,0.0,0.0
3315.512281139,eth0,1,100,29.25,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2783570562926,0.1666468052949034,4.612783570562926e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.612783570562926e-06,29.25,0.0,0.0
3375.51880077,eth0,1,100,29.8,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28321006140055,0.16664855854819385,4.612832100614006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.612807835588466e-06,29.433333333333334,0.5500000000000007,0.0009166666666666678
3435.525269401,eth0,1,100,29.25,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2836021098586,0.16664870018419745,4.6128360210985856e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.6128172307585055e-06,29.3875,0.0,0.0
3495.531955698,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.28192886704954,0.166648095688963,4.612819288670496e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.612817745236503e-06,29.25,-0.5500000000000007,-0.0009166666666666678
3555.538607274,eth0,1,100,27.05,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.282195773623,0.16664819211474818,4.61282195773623e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.6128185877364484e-06,28.883333333333333,-2.1999999999999993,-0.0036666666666666653
3615.54511333,eth0,1,100,29.25,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.15498297386796,0.14998373662350722,4.15154982973868e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.535940461403487e-06,28.935714285714287,0.0,0.0
3675.551670887,eth0,1,100,28.7,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.2829185161437,0.16664845322115018,4.612829185161437e-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.54692456479748e-06,28.90625,-0.5500000000000007,-0.0009166666666666678
